Nombre,Categoria,Unidad (KG/L/UD),Precio,Merma (%),Alergenos (Separados por coma)
Ternera Morcillo Picado 30 Días,Carnes/Ternera,KG,30.69,2,
Ternera Morcillo Picado Adobado,Carnes/Ternera,KG,19.65,4,
Ternera Morcillo Picado Marinado,Carnes/Ternera,KG,21.91,2,
Ternera Morcillo Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,24.17,2,
Ternera Morcillo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,17.34,2,
Ternera Morcillo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,40.25,2,
Ternera Morcillo Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.48,0,
Ternera Morcillo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,16.38,2,
Ternera Morcillo Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,17.33,1,
Ternera Morcillo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,30.64,1,
Ternera Morcillo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,19.68,1,
Ternera Morcillo Brocheta (Pack 4 Ud),Carnes/Ternera,UD,15.28,1,
Ternera Morcillo Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,27.5,0,
Ternera Morcillo Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,27.22,1,
Ternera Morcillo Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,22.78,0,
Ternera Jarrete,Carnes/Ternera,KG,22.22,35,
Ternera Jarrete 21 Días,Carnes/Ternera,KG,31.04,40,
Ternera Jarrete 30 Días,Carnes/Ternera,KG,20.05,36,
Ternera Jarrete Adobado,Carnes/Ternera,KG,25.02,41,
Ternera Jarrete Marinado,Carnes/Ternera,KG,21.17,24,
Ternera Jarrete En Dados,Carnes/Ternera,KG,24.16,7,
Ternera Jarrete En Dados 21 Días,Carnes/Ternera,KG,34.88,10,
Ternera Jarrete En Dados Adobado,Carnes/Ternera,KG,28.97,12,
Ternera Jarrete Picado,Carnes/Ternera,KG,18.03,5,
Ternera Jarrete Picado 21 Días,Carnes/Ternera,KG,32.88,6,
Ternera Jarrete Picado 30 Días,Carnes/Ternera,KG,32.03,6,
Ternera Jarrete Picado Marinado,Carnes/Ternera,KG,28.61,4,
Ternera Jarrete Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,24.49,2,
Ternera Jarrete Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,13.57,0,
Ternera Jarrete Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,27.84,1,
Ternera Jarrete Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,16.19,1,
Ternera Jarrete Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,31.05,2,
Ternera Jarrete Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,35.32,0,
Ternera Jarrete Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.07,2,
Ternera Jarrete Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,12.26,1,
Ternera Jarrete Brocheta (Pack 4 Ud),Carnes/Ternera,UD,20.07,0,
Ternera Jarrete Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,32.25,2,
Ternera Jarrete Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,26.97,1,
Ternera Jarrete Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,23.11,0,
Ternera Jarrete Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,24.18,0,
Ternera Falda,Carnes/Ternera,KG,25.47,32,
Ternera Falda 21 Días,Carnes/Ternera,KG,32.01,37,
Ternera Falda 30 Días,Carnes/Ternera,KG,30.08,48,
Ternera Falda Adobado,Carnes/Ternera,KG,12.35,55,
Ternera Falda Marinado,Carnes/Ternera,KG,27.73,25,
Ternera Falda En Dados,Carnes/Ternera,KG,20.47,10,
Ternera Falda En Dados 21 Días,Carnes/Ternera,KG,33.92,11,
Ternera Falda En Dados 30 Días,Carnes/Ternera,KG,41.27,11,
Ternera Falda En Dados Adobado,Carnes/Ternera,KG,28.81,8,
Ternera Falda Picado,Carnes/Ternera,KG,12.85,4,
Ternera Falda Picado 21 Días,Carnes/Ternera,KG,18.83,5,
Ternera Falda Picado 30 Días,Carnes/Ternera,KG,29.7,2,
Ternera Falda Picado Adobado,Carnes/Ternera,KG,31.97,3,
Ternera Falda Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,27.71,0,
Ternera Falda Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,13.45,0,
Ternera Falda Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,30.15,0,
Ternera Falda Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,13.33,1,
Ternera Falda Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,20.32,1,
Ternera Falda Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.78,2,
Ternera Falda Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,24.41,1,
Ternera Falda Brocheta (Pack 4 Ud),Carnes/Ternera,UD,19.9,1,
Ternera Falda Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,21.81,0,
Ternera Falda Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,30.85,1,
Ternera Falda Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,27.41,0,
Ternera Costilla,Carnes/Ternera,KG,12.18,55,
Ternera Costilla 21 Días,Carnes/Ternera,KG,23.64,33,
Ternera Costilla 30 Días,Carnes/Ternera,KG,36.55,32,
Ternera Costilla Adobado,Carnes/Ternera,KG,22.66,49,
Ternera Costilla Marinado,Carnes/Ternera,KG,15.52,52,
Ternera Costilla En Dados,Carnes/Ternera,KG,22.07,10,
Ternera Costilla En Dados 21 Días,Carnes/Ternera,KG,31.51,11,
Ternera Costilla En Dados 30 Días,Carnes/Ternera,KG,40.32,5,
Ternera Costilla En Dados Adobado,Carnes/Ternera,KG,23.89,8,
Ternera Costilla En Dados Marinado,Carnes/Ternera,KG,14.81,11,
Ternera Costilla Picado,Carnes/Ternera,KG,29.2,5,
Ternera Costilla Picado 21 Días,Carnes/Ternera,KG,19.95,4,
Ternera Costilla Picado 30 Días,Carnes/Ternera,KG,24.72,6,
Ternera Costilla Picado Adobado,Carnes/Ternera,KG,22.17,2,
Ternera Costilla Picado Marinado,Carnes/Ternera,KG,29.74,6,
Ternera Costilla Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,27.37,2,
Ternera Costilla Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,31.48,1,
Ternera Costilla Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,26.22,1,
Ternera Costilla Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,18.98,0,
Ternera Costilla Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,26.0,1,
Ternera Costilla Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,28.43,2,
Ternera Costilla Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,19.63,0,
Ternera Costilla Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.22,2,
Ternera Costilla Brocheta (Pack 4 Ud),Carnes/Ternera,UD,24.21,0,
Ternera Costilla Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,22.47,2,
Ternera Costilla Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,17.52,0,
Ternera Costilla Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,26.18,1,
Ternera Tapa,Carnes/Ternera,KG,11.57,43,
Ternera Tapa 21 Días,Carnes/Ternera,KG,22.26,37,
Ternera Tapa Adobado,Carnes/Ternera,KG,16.05,37,
Ternera Tapa Marinado,Carnes/Ternera,KG,20.33,50,
Ternera Tapa 30 Días,Carnes/Ternera,KG,26.32,15,
Ternera Tapa En Dados,Carnes/Ternera,KG,31.95,12,
Ternera Tapa En Dados 21 Días,Carnes/Ternera,KG,33.18,10,
Ternera Tapa En Dados 30 Días,Carnes/Ternera,KG,40.55,5,
Ternera Tapa En Dados Marinado,Carnes/Ternera,KG,31.35,7,
Ternera Tapa Picado,Carnes/Ternera,KG,13.8,5,
Ternera Tapa Picado 21 Días,Carnes/Ternera,KG,27.36,2,
Ternera Tapa Picado 30 Días,Carnes/Ternera,KG,18.41,5,
Ternera Tapa Picado Adobado,Carnes/Ternera,KG,31.58,3,
Ternera Tapa Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,23.97,1,
Ternera Tapa Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,31.48,2,
Ternera Tapa Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,39.21,0,
Ternera Tapa Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,26.44,0,
Ternera Tapa Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,13.6,2,
Ternera Tapa Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,24.88,2,
Ternera Tapa Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,16.34,2,
Ternera Tapa Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,34.99,0,
Ternera Tapa Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,20.66,0,
Ternera Tapa Brocheta (Pack 4 Ud),Carnes/Ternera,UD,20.08,0,
Ternera Tapa Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,21.47,0,
Ternera Tapa Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,21.03,0,
Ternera Tapa Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,16.48,2,
Ternera Contra,Carnes/Ternera,KG,22.47,32,
Ternera Contra 21 Días,Carnes/Ternera,KG,27.22,39,
Ternera Contra 30 Días,Carnes/Ternera,KG,16.43,52,
Ternera Contra Adobado,Carnes/Ternera,KG,22.68,54,
Ternera Contra Marinado,Carnes/Ternera,KG,15.94,5,
Ternera Contra En Dados,Carnes/Ternera,KG,29.9,9,
Ternera Contra En Dados 21 Días,Carnes/Ternera,KG,22.39,6,
Ternera Contra En Dados 30 Días,Carnes/Ternera,KG,38.67,12,
Ternera Contra En Dados Adobado,Carnes/Ternera,KG,33.66,5,
Ternera Contra Picado,Carnes/Ternera,KG,24.98,5,
Ternera Contra Picado 21 Días,Carnes/Ternera,KG,19.52,2,
Ternera Contra Picado 30 Días,Carnes/Ternera,KG,18.46,6,
Ternera Contra Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,18.72,0,
Ternera Contra Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,25.45,0,
Ternera Contra Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,32.0,0,
Ternera Contra Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,16.55,2,
Ternera Contra Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,22.54,0,
Ternera Contra Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,30.23,2,
Ternera Contra Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.54,2,
Ternera Contra Brocheta (Pack 4 Ud),Carnes/Ternera,UD,15.69,2,
Ternera Contra Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,21.83,0,
Ternera Contra Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,33.68,0,
Ternera Contra Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,15.31,0,
Ternera Babilla,Carnes/Ternera,KG,17.9,45,
Ternera Babilla 21 Días,Carnes/Ternera,KG,24.02,31,
Ternera Babilla Adobado,Carnes/Ternera,KG,20.63,33,
Ternera Babilla 30 Días,Carnes/Ternera,KG,31.48,22,
Ternera Babilla Marinado,Carnes/Ternera,KG,28.93,25,
Ternera Babilla En Dados,Carnes/Ternera,KG,17.39,9,
Ternera Babilla En Dados 21 Días,Carnes/Ternera,KG,15.81,9,
Ternera Babilla En Dados 30 Días,Carnes/Ternera,KG,24.56,11,
Ternera Babilla Picado,Carnes/Ternera,KG,28.09,5,
Ternera Babilla Picado 21 Días,Carnes/Ternera,KG,34.9,3,
Ternera Babilla Picado Adobado,Carnes/Ternera,KG,25.37,6,
Ternera Babilla Picado Marinado,Carnes/Ternera,KG,23.35,6,
Ternera Babilla Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,15.23,1,
Ternera Babilla Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,21.36,2,
Ternera Babilla Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,39.63,0,
Ternera Babilla Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,19.23,0,
Ternera Babilla Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,24.18,2,
Ternera Babilla Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,14.7,2,
Ternera Babilla Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,29.93,1,
Ternera Babilla Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,29.02,2,
Ternera Babilla Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,29.89,0,
Ternera Babilla Brocheta (Pack 4 Ud),Carnes/Ternera,UD,21.28,0,
Ternera Babilla Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,24.7,1,
Ternera Babilla Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,26.23,1,
Ternera Babilla Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,29.84,1,
Ternera Babilla Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,15.41,1,
Ternera Cadera,Carnes/Ternera,KG,17.41,41,
Ternera Cadera 21 Días,Carnes/Ternera,KG,26.61,49,
Ternera Cadera 30 Días,Carnes/Ternera,KG,30.82,53,
Ternera Cadera Marinado,Carnes/Ternera,KG,18.1,36,
Ternera Cadera Adobado,Carnes/Ternera,KG,23.38,31,
Ternera Cadera En Dados,Carnes/Ternera,KG,15.52,11,
Ternera Cadera En Dados 21 Días,Carnes/Ternera,KG,31.86,9,
Ternera Cadera En Dados 30 Días,Carnes/Ternera,KG,41.28,5,
Ternera Cadera En Dados Marinado,Carnes/Ternera,KG,20.14,8,
Ternera Cadera Picado,Carnes/Ternera,KG,16.64,2,
Ternera Cadera Picado 21 Días,Carnes/Ternera,KG,35.53,3,
Ternera Cadera Picado Adobado,Carnes/Ternera,KG,26.32,2,
Ternera Cadera Picado Marinado,Carnes/Ternera,KG,31.45,4,
Ternera Cadera Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,16.05,1,
Ternera Cadera Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,15.96,2,
Ternera Cadera Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,24.24,2,
Ternera Cadera Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,16.47,0,
Ternera Cadera Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,11.53,0,
Ternera Cadera Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,25.62,1,
Ternera Cadera Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,19.59,2,
Ternera Cadera Brocheta (Pack 4 Ud),Carnes/Ternera,UD,26.98,2,
Ternera Cadera Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,26.44,0,
Ternera Cadera Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,28.54,0,
Ternera Cadera Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,18.92,2,
Ternera Rabo,Carnes/Ternera,KG,26.9,50,
Ternera Rabo 21 Días,Carnes/Ternera,KG,15.25,43,
Ternera Rabo 30 Días,Carnes/Ternera,KG,24.16,48,
Ternera Rabo Adobado,Carnes/Ternera,KG,26.4,54,
Ternera Rabo Marinado,Carnes/Ternera,KG,19.94,32,
Ternera Rabo En Dados,Carnes/Ternera,KG,18.03,9,
Ternera Rabo En Dados 21 Días,Carnes/Ternera,KG,32.74,5,
Ternera Rabo En Dados 30 Días,Carnes/Ternera,KG,29.67,5,
Ternera Rabo En Dados Marinado,Carnes/Ternera,KG,30.21,7,
Ternera Rabo Picado,Carnes/Ternera,KG,31.94,4,
Ternera Rabo Picado 21 Días,Carnes/Ternera,KG,24.34,5,
Ternera Rabo Picado 30 Días,Carnes/Ternera,KG,19.54,6,
Ternera Rabo Picado Adobado,Carnes/Ternera,KG,34.52,2,
Ternera Rabo Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,12.53,1,
Ternera Rabo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,16.6,2,
Ternera Rabo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,17.88,1,
Ternera Rabo Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,30.27,0,
Ternera Rabo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,22.54,0,
Ternera Rabo Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,19.65,1,
Ternera Rabo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,14.81,2,
Ternera Rabo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,23.86,0,
Ternera Rabo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,27.07,2,
Ternera Rabo Brocheta (Pack 4 Ud),Carnes/Ternera,UD,22.37,1,
Ternera Rabo Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,32.01,0,
Ternera Rabo Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,36.19,1,
Ternera Rabo Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,12.31,1,
Ternera Rabo Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,25.5,0,
Ternera Picaña,Carnes/Ternera,KG,26.18,40,
Ternera Picaña 21 Días,Carnes/Ternera,KG,33.49,30,
Ternera Picaña 30 Días,Carnes/Ternera,KG,33.5,55,
Ternera Picaña Adobado,Carnes/Ternera,KG,27.14,32,
Ternera Picaña Marinado,Carnes/Ternera,KG,23.11,36,
Ternera Picaña En Dados,Carnes/Ternera,KG,24.31,5,
Ternera Picaña En Dados 21 Días,Carnes/Ternera,KG,28.61,6,
Ternera Picaña En Dados 30 Días,Carnes/Ternera,KG,41.15,9,
Ternera Picaña En Dados Adobado,Carnes/Ternera,KG,28.22,8,
Ternera Picaña Picado,Carnes/Ternera,KG,20.05,5,
Ternera Picaña Picado 21 Días,Carnes/Ternera,KG,27.55,4,
Ternera Picaña Picado 30 Días,Carnes/Ternera,KG,22.03,4,
Ternera Picaña Picado Adobado,Carnes/Ternera,KG,27.74,3,
Ternera Picaña Picado Marinado,Carnes/Ternera,KG,14.44,5,
Ternera Picaña Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,24.58,1,
Ternera Picaña Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,13.57,0,
Ternera Picaña Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,32.67,1,
Ternera Picaña Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,18.89,1,
Ternera Picaña Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,25.68,1,
Ternera Picaña Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,25.68,0,
Ternera Picaña Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,31.94,0,
Ternera Picaña Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,17.51,0,
Ternera Picaña Brocheta (Pack 4 Ud),Carnes/Ternera,UD,20.73,2,
Ternera Picaña Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,21.79,1,
Ternera Redondo,Carnes/Ternera,KG,25.84,34,
Ternera Redondo 21 Días,Carnes/Ternera,KG,28.68,52,
Ternera Redondo 30 Días,Carnes/Ternera,KG,24.91,30,
Ternera Redondo Marinado,Carnes/Ternera,KG,13.48,42,
Ternera Redondo Adobado,Carnes/Ternera,KG,18.28,11,
Ternera Redondo En Dados,Carnes/Ternera,KG,19.78,7,
Ternera Redondo En Dados 21 Días,Carnes/Ternera,KG,18.48,10,
Ternera Redondo En Dados 30 Días,Carnes/Ternera,KG,38.19,12,
Ternera Redondo En Dados Adobado,Carnes/Ternera,KG,18.66,10,
Ternera Redondo En Dados Marinado,Carnes/Ternera,KG,34.34,7,
Ternera Redondo Picado,Carnes/Ternera,KG,13.62,2,
Ternera Redondo Picado 21 Días,Carnes/Ternera,KG,34.66,3,
Ternera Redondo Picado 30 Días,Carnes/Ternera,KG,43.02,5,
Ternera Redondo Picado Marinado,Carnes/Ternera,KG,34.61,4,
Ternera Redondo Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,27.18,2,
Ternera Redondo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,24.56,2,
Ternera Redondo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,22.98,2,
Ternera Redondo Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,13.79,2,
Ternera Redondo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,22.59,2,
Ternera Redondo Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,20.32,2,
Ternera Redondo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,24.0,1,
Ternera Redondo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,34.74,1,
Ternera Redondo Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.03,1,
Ternera Redondo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,19.04,2,
Ternera Redondo Brocheta (Pack 4 Ud),Carnes/Ternera,UD,19.39,0,
Ternera Redondo Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,21.51,2,
Ternera Redondo Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,18.48,1,
Ternera Redondo Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,17.89,0,
Ternera Redondo Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,12.3,1,
Ternera Pez,Carnes/Ternera,KG,25.68,44,
Ternera Pez 21 Días,Carnes/Ternera,KG,13.53,42,
Ternera Pez 30 Días,Carnes/Ternera,KG,40.46,55,
Ternera Pez Adobado,Carnes/Ternera,KG,12.61,41,
Ternera Pez Marinado,Carnes/Ternera,KG,24.83,36,
Ternera Pez En Dados,Carnes/Ternera,KG,29.22,9,
Ternera Pez En Dados 21 Días,Carnes/Ternera,KG,22.43,11,
Ternera Pez En Dados Adobado,Carnes/Ternera,KG,32.47,8,
Ternera Pez Picado,Carnes/Ternera,KG,17.81,5,
Ternera Pez Picado 21 Días,Carnes/Ternera,KG,36.76,6,
Ternera Pez Picado 30 Días,Carnes/Ternera,KG,18.94,5,
Ternera Pez Picado Adobado,Carnes/Ternera,KG,34.87,3,
Ternera Pez Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,24.62,1,
Ternera Pez Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,30.65,0,
Ternera Pez Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,15.17,0,
Ternera Pez Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,19.31,1,
Ternera Pez Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,27.28,0,
Ternera Pez Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,21.19,1,
Ternera Pez Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,17.51,1,
Ternera Pez Brocheta (Pack 4 Ud),Carnes/Ternera,UD,14.16,0,
Ternera Pez Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,18.1,1,
Ternera Pez Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,38.99,1,
Ternera Pez Brocheta (Pack 4 Ud) Marinado,Carnes/Ternera,UD,28.17,2,
Ternera Espaldilla,Carnes/Ternera,KG,14.18,50,
Ternera Espaldilla 21 Días,Carnes/Ternera,KG,25.89,37,
Ternera Espaldilla 30 Días,Carnes/Ternera,KG,33.72,37,
Ternera Espaldilla Adobado,Carnes/Ternera,KG,16.36,16,
Ternera Espaldilla Marinado,Carnes/Ternera,KG,18.3,40,
Ternera Espaldilla En Dados,Carnes/Ternera,KG,13.23,6,
Ternera Espaldilla En Dados 21 Días,Carnes/Ternera,KG,19.75,8,
Ternera Espaldilla En Dados 30 Días,Carnes/Ternera,KG,44.61,11,
Ternera Espaldilla En Dados Marinado,Carnes/Ternera,KG,24.22,7,
Ternera Espaldilla Picado,Carnes/Ternera,KG,21.78,5,
Ternera Espaldilla Picado 21 Días,Carnes/Ternera,KG,35.2,5,
Ternera Espaldilla Picado 30 Días,Carnes/Ternera,KG,43.57,2,
Ternera Espaldilla Picado Adobado,Carnes/Ternera,KG,29.26,4,
Ternera Espaldilla Picado Marinado,Carnes/Ternera,KG,13.82,5,
Ternera Espaldilla Hamburguesa 120 G (Pack 2 Ud),Carnes/Ternera,UD,17.15,2,
Ternera Espaldilla Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,20.04,0,
Ternera Espaldilla Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,28.36,2,
Ternera Espaldilla Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Ternera,UD,17.48,2,
Ternera Espaldilla Hamburguesa 180 G (Pack 2 Ud),Carnes/Ternera,UD,21.89,0,
Ternera Espaldilla Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Ternera,UD,15.9,0,
Ternera Espaldilla Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Ternera,UD,32.6,0,
Ternera Espaldilla Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Ternera,UD,21.57,1,
Ternera Espaldilla Brocheta (Pack 4 Ud),Carnes/Ternera,UD,18.71,1,
Ternera Espaldilla Brocheta (Pack 4 Ud) 21 Días,Carnes/Ternera,UD,30.37,0,
Ternera Espaldilla Brocheta (Pack 4 Ud) 30 Días,Carnes/Ternera,UD,16.29,0,
Ternera Espaldilla Brocheta (Pack 4 Ud) Adobado,Carnes/Ternera,UD,19.67,2,
Ternera Brazuelo,Carnes/Ternera,KG,27.7,51,
Ternera Brazuelo 21 Días,Carnes/Ternera,KG,32.45,55,
